date,China,USA,Vietnam,Australia,Japan,HongKong,Singapore,Norway,Panama,Taiwan
2000-01-01,11655511,6200928,4330457,802006,2395932,3223395,1027148,82631,111602,1314245
2000-01-01,10589664,6035663,4517085,4194037,2108330,2828098,912889,548581,271624,1209989
2000-02-01,10652552,5523902,4153353,787740,2182626,2873923,739647,219309,27108,1331458
2000-02-01,10675442,5980992,4318913,4945447,2350969,3198026,977966,631870,46079,1230754
2000-02-01,10791084,5660934,3636567,3463071,2162170,2903504,1239345,656537,238503,1338658
2000-02-01,11912499,5952844,3754935,750313,2107246,3287458,1030981,99953,223008,1301929
2000-02-01,13540683,6597924,4734487,951097,2516088,3828534,1136453,1882297,131197,1357134
2000-02-01,14000887,6381591,4411512,997397,2520013,3751699,824011,29969,160402,1289957
2000-02-01,13848364,5295553,4059315,856848,2449867,3984650,1226018,31620,137796,1224555
2000-02-01,14767041,6980164,4277334,820959,2764708,3869675,979044,740534,455992,2577681
2000-02-01,13381305,5159691,4248685,805669,2583914,3429413,940456,57779,320028,1431091
2000-02-01,11522664,4682548,3627832,789677,2446180,3032520,830104,554675,414499,1117926
2000-02-01,13576667,6078616,4196645,833412,2603450,4122521,879525,203806,118741,1379982
2000-02-01,13034964,5942114,3724494,824987,2482756,3838410,1363779,96861,22829,1425180
2000-02-01,13851900,6153033,3781174,858134,2513782,4237217,898289,27753,77419,1466129
2000-02-01,13814241,6421518,3934797,957240,2578913,4363035,756104,46560,134883,1631558
2000-02-01,13721233,6151681,3915010,840019,2542258,4150646,1022764,81768,268449,1860748
2000-02-01,14401521,6048102,4353160,851309,2409640,4076288,770943,24842,93098,1980591
2000-02-01,14590529,5821081,3946878,612086,2469037,4903221,786254,29392,57821,2260227
2000-02-01,13558761,6840971,4520136,700547,2707331,3104350,1355047,274554,21332,2235810
2000-02-01,11904229,6440415,4095952,716385,2426612,2869147,1199873,736412,22411,1416588
2000-02-01,12243754,6357758,4209045,709472,2617333,2478884,1274628,133351,187860,1602219
2000-02-01,10836336,6209466,4025560,707863,2372581,2217704,962190,92369,20321,1289233
2000-02-01,9532194,5442457,3576740,546974,2296310,2311680,1243481,22459,51805,1110423
2000-02-01,11442781,6319152,4065314,588306,2261652,3266775,954672,428066,62312,1295304
2000-02-01,12429813,6158443,4197072,724294,2277192,2591788,1361362,84201,248305,1365212
2000-02-01,11014513,6500301,3648722,665621,2533489,2944595,986597,85109,45254,1314273
2000-02-01,10422956,6249176,3589372,616376,2255619,2871892,822704,235235,128456,1279975
2000-02-01,11444067,6113230,4220824,843933,2545212,2761539,1061854,77751,168661,1162373
2000-02-01,11287793,5619803,4484556,615542,2243165,2578176,1283150,264006,323108,1358374
2000-02-01,11362386,5690676,4229158,592563,2310566,2825992,925188,146589,107886,1322317
2000-02-01,11888955,6265034,4052033,660667,2410613,2454636,793338,51322,163668,1119454
2000-02-01,12296986,6418400,3879352,618957,2296481,2609215,1098868,181516,205720,1447152
2000-02-01,11527356,6562209,4508943,592940,2434953,2731821,1084771,146380,196941,1551769
2000-02-01,9642031,5740347,4081500,553671,1924047,2193755,586414,39120,53982,1172396
2000-02-01,8824933,5931572,3931517,459049,2265045,2546966,1140564,154213,144453,1066634
2000-02-01,10643503,7281215,3998334,572797,2485053,3172787,980416,35510,47606,1257872
2000-02-01,10151495,5277226,2713976,386091,1984660,2379362,748962,19946,198453,1251015
2000-02-01,10743735,4589358,2917842,268931,1781737,2362302,665959,72458,145718,1207890
2000-02-01,11443240,5735515,3503967,415240,1849843,2337610,918584,273064,180825,1348432
2000-02-01,11726183,6596979,4203038,558758,1999257,2034338,586851,204411,185233,1303771
